map_name,scen_id,n_agents,solver_name,reward,total_time,exec_time,train_time,end_reason,steps,replans_max_size,replans_count,max_steps_window,max_reached_window,max_expanded_window,n_livelock,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
maze-32-32-4,online_window_dijkstra_2,10,1,-3,0.436344,0.436344,0,success,3,0,0,3,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-7,0.570424,0.570424,0,success,7,0,0,7,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-11,0.764414,0.764414,0,success,11,0,0,11,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-3,0.434605,0.434605,0,success,3,0,0,3,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-19,1.19343,1.19343,0,success,19,0,0,19,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-12,0.907168,0.907168,0,success,12,0,0,12,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-14,0.892127,0.892127,0,success,14,0,0,14,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-17,1.07868,1.07868,0,success,17,0,0,17,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-7,0.46476,0.46476,0,success,7,0,0,7,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-7,0.620729,0.620729,0,success,7,0,0,7,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-7,0.60952,0.60952,0,success,7,0,0,7,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-5,0.614681,0.614681,0,success,5,0,0,5,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-5,0.589511,0.589511,0,success,5,0,0,5,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-3,0.420186,0.420186,0,success,3,0,0,3,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-10,0.7541,0.7541,0,success,10,0,0,10,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-7,0.652963,0.652963,0,success,7,0,0,7,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-7,0.557016,0.557016,0,success,7,0,0,7,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-7,0.439656,0.439656,0,success,7,0,0,7,0,0,0,-,-,-,-,-
